dt,temp,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,clouds_all,weather_main
1704067200,14.92,15.09,1021,62,2.6,90,0,1,Clear
1704070800,14.82,14.89,1020,62,2.1,110,0,0,Clear
1704074400,13.82,15,1021,67,2.1,110,0,0,Clear
1704078000,13.67,13.89,1021,68,1.5,90,0,12,Clouds
1704081600,13.82,13.89,1021,67,0,0,0,0,Clear
1704085200,13.82,13.89,1022,67,3.1,110,0,0,Clear
1704088800,15.32,16.67,1022,61,2.6,90,0,78,Clouds
1704092400,15.82,18.34,1022,58,2.6,110,0,0,Clear
1704096000,17.82,18.89,1022,55,1.54,110,,61,Clouds
1704099600,19.72,19.75,1022,53,1.5,0,0,37,Clouds
1704103200,19.82,19.89,1021,52,2.1,320,0,39,Clouds
1704106800,19.82,19.89,1020,56,2.6,320,0,17,Clouds
1704110400,19.84,22.4,1020,51,2.1,0,0,16,Clouds
1704114000,20.82,20.89,1020,49,1.54,320,,40,Clouds
1704117600,18.82,18.89,1020,59,3.1,340,0,40,Clouds
1704121200,18.92,19.09,1020,57,2.1,50,0,40,Clouds
1704124800,18.82,18.89,1020,55,2.1,30,0,40,Clouds
1704128400,16.82,16.89,1020,67,1.54,110,,40,Clouds
1704132000,16.97,17.19,1020,62,1.54,120,,75,Clouds
1704135600,16.82,16.89,1020,63,1.54,110,,40,Clouds
1704139200,16.82,16.89,1020,63,2.1,110,0,40,Clouds
1704142800,15.97,16.19,1020,63,1.54,90,,75,Clouds
1704146400,15.82,16.12,1019,63,1.54,120,,0,Clear
1704150000,15.82,15.89,1019,63,0.51,0,,0,Clear
1704153600,16.02,16.29,1019,61,2.1,120,0,75,Clouds
1704157200,15.82,16.12,1019,63,2.6,120,0,0,Clear
1704160800,15.82,16.12,1019,63,2.1,120,0,0,Clear
1704164400,14.97,16.12,1019,66,2.57,120,,75,Clouds
1704168000,15.82,15.89,1019,63,2.6,120,0,0,Clear
1704171600,14.82,15.56,1019,62,2.6,110,0,0,Clear
1704175200,15.92,16.67,1020,62,3.09,110,,40,Clouds
1704178800,17.82,17.89,1020,55,1.54,100,,0,Clear
1704182400,18.82,18.89,1020,55,2.1,120,0,20,Clouds
1704186000,18.12,18.49,1020,68,7.72,210,,40,Clouds
